,TBL_ID,CODE1,SCR_MN1,SCR_ENG1,DTVAL_CO,PERIOD,Sector
22,DT_NSO_0500_022V1,1,ДНБ,GDP,5210906.667,2022-03-31,GDP
23,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",242827.327,2022-03-31,Agriculture
24,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,561886.661,2022-03-31,Mining
25,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,359464.552,2022-03-31,Industry
26,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",235939.781,2022-03-31,Electricity
27,DT_NSO_0500_022V1,105,Барилга,Construction,46382.078,2022-03-31,Construction
28,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,582624.602,2022-03-31,Trade
29,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,136943.5,2022-03-31,Transportation
30,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,169206.928,2022-03-31,Information
31,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,1924751.684,2022-03-31,Service
32,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,950879.553,2022-03-31,Taxes
55,DT_NSO_0500_022V1,1,ДНБ,GDP,27034152.055,2021-12-31,GDP
56,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",3797188.74,2021-12-31,Agriculture
57,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,3729008.023,2021-12-31,Mining
58,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,2234487.512,2021-12-31,Industry
59,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",736583.981,2021-12-31,Electricity
60,DT_NSO_0500_022V1,105,Барилга,Construction,720520.982,2021-12-31,Construction
61,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,3058627.109,2021-12-31,Trade
62,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,1053487.625,2021-12-31,Transportation
63,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,683130.103,2021-12-31,Information
64,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,7819266.564,2021-12-31,Service
65,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,3201851.415,2021-12-31,Taxes
88,DT_NSO_0500_022V1,1,ДНБ,GDP,19509666.176,2021-09-30,GDP
89,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",3063869.323,2021-09-30,Agriculture
90,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,2596045.429,2021-09-30,Mining
91,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,1340474.807,2021-09-30,Industry
92,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",499947.215,2021-09-30,Electricity
93,DT_NSO_0500_022V1,105,Барилга,Construction,338753.386,2021-09-30,Construction
94,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,2020336.115,2021-09-30,Trade
95,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,661493.343,2021-09-30,Transportation
96,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,516146.109,2021-09-30,Information
97,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,5725847.533,2021-09-30,Service
98,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,2746752.915,2021-09-30,Taxes
122,DT_NSO_0500_022V1,1,ДНБ,GDP,12549963.116,2021-06-30,GDP
123,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",1963595.127,2021-06-30,Agriculture
124,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,1624135.581,2021-06-30,Mining
125,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,838623.408,2021-06-30,Industry
126,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",372691.291,2021-06-30,Electricity
127,DT_NSO_0500_022V1,105,Барилга,Construction,194676.073,2021-06-30,Construction
128,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,1255582.285,2021-06-30,Trade
129,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,369552.767,2021-06-30,Transportation
130,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,340226.905,2021-06-30,Information
131,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,3741620.333,2021-06-30,Service
132,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,1849259.347,2021-06-30,Taxes
166,DT_NSO_0500_022V1,1,ДНБ,GDP,5419030.07,2021-03-31,GDP
167,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",218123.667,2021-03-31,Agriculture
168,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,893189.324,2021-03-31,Mining
169,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,400507.368,2021-03-31,Industry
170,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",222465.161,2021-03-31,Electricity
171,DT_NSO_0500_022V1,105,Барилга,Construction,66144.416,2021-03-31,Construction
172,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,543209.661,2021-03-31,Trade
173,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,206681.795,2021-03-31,Transportation
174,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,147316.469,2021-03-31,Information
175,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,1855077.399,2021-03-31,Service
176,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,866314.811,2021-03-31,Taxes
210,DT_NSO_0500_022V1,1,ДНБ,GDP,26655376.727,2020-12-31,GDP
211,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",4018677.782,2020-12-31,Agriculture
212,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,3667045.94,2020-12-31,Mining
213,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,2227252.867,2020-12-31,Industry
214,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",673122.363,2020-12-31,Electricity
215,DT_NSO_0500_022V1,105,Барилга,Construction,1069967.326,2020-12-31,Construction
216,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,2797263.723,2020-12-31,Trade
217,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,1264613.357,2020-12-31,Transportation
218,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,608660.8,2020-12-31,Information
219,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,7475897.213,2020-12-31,Service
220,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,2852875.353,2020-12-31,Taxes
254,DT_NSO_0500_022V1,1,ДНБ,GDP,18835668.749,2020-09-30,GDP
255,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",3213550.242,2020-09-30,Agriculture
256,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,2324399.165,2020-09-30,Mining
257,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,1259948.778,2020-09-30,Industry
258,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",458272.716,2020-09-30,Electricity
259,DT_NSO_0500_022V1,105,Барилга,Construction,541127.002,2020-09-30,Construction
260,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,1866879.41,2020-09-30,Trade
261,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,720750.092,2020-09-30,Transportation
262,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,468619.557,2020-09-30,Information
263,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,5590576.097,2020-09-30,Service
264,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,2391545.688,2020-09-30,Taxes
298,DT_NSO_0500_022V1,1,ДНБ,GDP,11810996.846,2020-06-30,GDP
299,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",2057361.369,2020-06-30,Agriculture
300,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,1306470.452,2020-06-30,Mining
